city/town,average_price,median_price
Alviso ,"$888,000.00 ","$888,000.00 "
,,
Campbell ,"$1,482,331.00 ","$1,385,000.00 "
,,
Cupertino ,"$2,303,351.00 ","$2,250,000.00 "
,,
Gilroy ,"$863,170.00 ","$781,000.00 "
,,
Los Altos ,"$3,481,950.00 ","$3,288,000.00 "
,,
Los Altos Hills ,"$4,498,349.00 ","$4,200,000.00 "
,,
Los Gatos ,"$2,340,757.00 ","$2,185,000.00 "
,,
Milpitas ,"$1,133,620.00 ","$1,090,000.00 "
,,
Monte Sereno ,"$3,349,917.00 ","$3,125,000.00 "
,,
Morgan Hill ,"$1,125,291.00 ","$1,025,000.00 "
,,
Mountain View ,"$2,207,567.00 ","$2,126,500.00 "
,,
Palo Alto ,"$3,466,410.00 ","$3,080,000.00 "
,,
San Jose ,"$1,189,912.00 ","$1,100,000.00 "
,,
San Martin ,"$1,231,047.00 ","$1,112,500.00 "
,,
Santa Clara ,"$1,385,798.00 ","$1,357,500.00 "
,,
Saratoga ,"$2,941,170.00 ","$2,697,500.00 "
,,
Stanford ,"$2,689,390.00 ","$2,600,000.00 "
,,
Sunnyvale ,"$1,753,265.00 ","$1,732,500.00 "
,,